id;country;population;density;area;fertility;age;urban;
1;Afghanistan;42647492;65;652860;4,8;17;27 %;
2;Albania;2791765;102;27400;1,3;37;69 %;
3;Algeria;46814308;20;2381740;2,7;28;74 %;
4;American Samoa;46765;234;200;2,3;29;N.A.;
5;Andorra;81938;174;470;1,1;43;83 %;
6;Angola;37885849;30;1246700;5;17;68 %;
7;Anguilla;14598;162;90;1,4;38;N.A.;
8;Antigua and Barbuda;93772;213;440;1,6;36;28 %;
9;Argentina;45696159;17;2736690;1,5;33;95 %;
10;Armenia;2973840;104;28470;1,7;36;63 %;
11;Aruba;108066;600;180;1,6;41;44 %;
12;Australia;26713205;3;7682300;1,6;38;86 %;
13;Austria;9120813;111;82409;1,3;43;58 %;
14;Azerbaijan;10336577;125;82658;1,7;33;58 %;
